ID,LID,Width,Color,type,LinkID
467,467,0.15,W,0,9879
468,468,0.15,W,0,6999
469,469,0.15,W,0,7037
470,470,0.15,Y,0,9840
471,471,0.15,Y,0,9878
472,472,0.15,Y,0,9917
473,473,0.15,Y,0,9955
474,474,0.15,Y,0,18941
475,475,0.15,Y,0,18903
476,476,0.15,Y,0,18864
477,477,0.15,Y,0,18826
478,478,0.15,W,0,18941
479,479,0.15,W,0,21821
480,480,0.15,W,0,21782
481,481,0.15,W,0,18826
482,482,0.15,W,0,24777
483,483,0.15,W,0,24739
484,484,0.15,W,0,24700
485,485,0.15,W,0,21744
486,486,0.15,W,0,17657
487,487,0.15,W,0,24739
488,488,0.15,W,0,24700
489,489,0.15,W,0,24662
490,490,0.15,W,0,17657
491,491,0.15,W,0,17619
492,492,0.15,W,0,17580
493,493,0.15,W,0,17542
494,494,0.15,W,0,46002
495,495,0.15,W,0,45617
496,496,0.15,W,0,45913
497,497,0.15,W,0,45891
498,498,0.15,W,0,45880
499,499,0.15,W,0,45875
500,500,0.15,W,0,45870
501,501,0.15,W,0,46002
502,502,0.15,W,0,45956
503,503,0.15,W,0,45575
504,504,0.15,W,0,45553
505,505,0.15,W,0,45543
506,506,0.15,W,0,45537
507,507,0.15,W,0,45533
508,508,0.15,W,0,16294
509,509,0.15,W,0,16353
510,510,0.15,W,0,16412
511,511,0.15,W,0,15016
512,512,0.15,W,0,4168
513,513,0.15,W,0,4227
514,514,0.15,W,0,4285
515,515,0.15,W,0,16471
516,516,0.15,W,0,7086
517,517,0.15,W,0,7145
518,518,0.15,W,0,7204
519,519,0.15,W,0,7262
520,520,0.15,W,0,7086
521,521,0.15,W,0,7145
522,522,0.15,W,0,10121
523,523,0.15,W,0,10180
524,524,0.15,Y,0,10004
525,525,0.15,Y,0,10063
526,526,0.15,Y,0,10121
527,527,0.15,Y,0,10180
528,528,0.15,Y,0,18777
529,529,0.15,Y,0,18719
530,530,0.15,Y,0,18660
531,531,0.15,Y,0,18601
532,532,0.15,W,0,18778
533,533,0.15,W,0,18719
534,534,0.15,W,0,21578
535,535,0.15,W,0,21519
536,536,0.15,W,0,21696
537,537,0.15,W,0,24555
538,538,0.15,W,0,24496
539,539,0.15,W,0,24437
540,540,0.15,W,0,24613
541,541,0.15,W,0,24555
542,542,0.15,W,0,17376
543,543,0.15,W,0,17317
